title,name,area,rooms,price_lower,price_upper
整租·东花市北里西区 2室1厅 南/北,东城-东花市-东花市北里西区,132.00,2,13000,13000
整租·东直门南大街 1室1厅 西,东城-东直门-东直门南大街,39.93,1,7000,7000
整租·金鱼池东区 1室0厅 西,东城-天坛-金鱼池东区,42.85,1,5500,5500
整租·朗家胡同13号院 3室1厅 南/北,东城-安定门-朗家胡同13号院,67.34,3,9800,9800
整租·水上华城 3室2厅 东南,东城-广渠门-水上华城,146.01,3,13000,13000
整租·小羊宜宾胡同 2室1厅 南,东城-建国门内-小羊宜宾胡同,55.00,2,7600,7600
整租·青年湖东里 2室1厅 南/北,东城-安定门-青年湖东里,60.78,2,6500,6500
整租·东直门外小街8号院 1室1厅 东/西,东城-东直门-东直门外小街8号院,52.00,1,5800,5800
整租·金世纪嘉园 2室1厅 北,东城-广渠门-金世纪嘉园,65.60,2,7100,7100
整租·南竹杆胡同 1室1厅 南,东城-朝阳门内-南竹杆胡同,47.51,1,2200,2200
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,81.00,2,9000,9000
整租·金鱼池中区 3室1厅 东/西,东城-天坛-金鱼池中区,86.82,3,9000,9000
整租·苏州胡同 2室1厅 南/北,东城-建国门内-苏州胡同,65.00,2,8500,8500
整租·朝阳门内大街 1室1厅 东,东城-朝阳门内-朝阳门内大街,49.72,1,7600,7600
整租·东华门大街 1室1厅 南,东城-东单-东华门大街,39.58,1,6800,6800
整租·华府景园 2室2厅 西,东城-安定门-华府景园,98.91,2,13500,13500
整租·安外大街80号院 2室1厅 东/西,东城-和平里-安外大街80号院,55.16,2,6400,6400
整租·大龙公寓 2室1厅 东/南,东城-安贞-大龙公寓,85.54,2,11000,11000
整租·三秀涵雅 2室1厅 东南,东城-安定门-三秀涵雅,90.00,2,10100,10100
整租·西香河园 1室1厅 南/北,东城-东直门-西香河园,40.00,1,6200,6200
整租·东方财富 1室0厅 西,东城-广渠门-东方财富,44.82,1,5200,5200
整租·安外东河沿 2室1厅 南,东城-安定门-安外东河沿,59.68,2,9200,9200
整租·本家润园C区 2室1厅 东,东城-东花市-本家润园C区,67.48,2,7600,7600
整租·龙潭北里 2室1厅 南/北,东城-左安门-龙潭北里,60.00,2,7300,7300
整租·向新西里 2室1厅 南,东城-左安门-向新西里,53.72,2,5600,5600
整租·左安浦园 1室1厅 南,东城-左安门-左安浦园,70.00,1,6100,6100
整租·东花市北里中区 2室2厅 南/北,东城-东花市-东花市北里中区,89.09,2,7800,7800
整租·东交民巷32号院 2室0厅 东,东城-前门-东交民巷32号院,49.14,2,5800,5800
整租·金鱼池中区 4室2厅 南/北,东城-天坛-金鱼池中区,151.59,4,12000,12000
整租·太华公寓 1室1厅 西,东城-崇文门-太华公寓,65.00,1,7800,7800
整租·崇文门西大街 3室1厅 南/北,东城-崇文门-崇文门西大街,70.00,3,9500,9500
整租·东四十条甲34号院 2室1厅 东南,东城-朝阳门内-东四十条甲34号院,65.00,2,8800,8800
整租·安德路乙61号院 2室1厅 西,东城-安定门-安德路乙61号院,80.37,2,15000,15000
整租·左安浦园 2室1厅 东,东城-左安门-左安浦园,78.00,2,7500,7500
整租·南门仓胡同 3室1厅 南/北,东城-朝阳门内-南门仓胡同,86.00,3,15500,15500
整租·南月牙胡同 1室1厅 东/北,东城-东四-南月牙胡同,40.00,1,4400,4400
整租·玉石胡同 2室1厅 南/北,东城-灯市口-玉石胡同,55.75,2,5100,5100
整租·安外花园 3室1厅 南/北,东城-和平里-安外花园,61.04,3,8500,8500
整租·贡院九号 3室1厅 西南,东城-建国门内-贡院九号,177.19,3,28000,28000
整租·丹耀大厦 5室2厅 复式 南/北,东城-东单-丹耀大厦,312.01,5,40000,40000
整租·桃杨路教师楼 3室2厅 南/北,东城-永定门-桃杨路教师楼,86.20,3,8500,8500
整租·交道口东大街 2室1厅 南,东城-交道口-交道口东大街,79.00,2,12500,12500
整租·玉石胡同 1室1厅 南,东城-灯市口-玉石胡同,45.00,1,7000,7000
整租·月牙胡同 5室2厅 东/南/西,东城-东四-月牙胡同,111.80,5,85000,85000
整租·悠胜美苑 5室1厅 南,东城-永定门-悠胜美苑,202.00,5,18000,18000
整租·和平里七区 2室1厅 南,东城-和平里-和平里七区,54.00,2,7200,7200
整租·民安小区东扬威街 4室2厅 南,东城-东直门-民安小区东扬威街,131.01,4,25000,25000
整租·法华南里 1室1厅 东,东城-崇文门-法华南里,48.00,1,5700,5700
整租·朝阳首府 3室1厅 西南,东城-朝阳门内-朝阳首府,171.00,3,35000,35000
整租·国瑞城中区 3室2厅 南/北,东城-崇文门-国瑞城中区,153.00,3,24000,24000
整租·东黄城根北街40号院 1室1厅 东,东城-东四-东黄城根北街40号院,43.45,1,6200,6200
整租·龙潭西里 1室1厅 西北,东城-左安门-龙潭西里,43.00,1,5100,5100
整租·京城仁合 2室2厅 南/北,东城-广渠门-京城仁合,125.48,2,14500,14500
整租·兴隆都市馨园 2室1厅 南,东城-崇文门-兴隆都市馨园,52.76,2,7100,7100
整租·本家润园C区 2室1厅 南,东城-东花市-本家润园C区,88.18,2,10200,10200
整租·朝内大街203号院 2室1厅 西/北,东城-东四-朝内大街203号院,64.98,2,4600,4600
整租·京城仁合 2室1厅 东/西,东城-广渠门-京城仁合,83.87,2,7990,7990
整租·左安浦园 1室1厅 东,东城-左安门-左安浦园,67.00,1,5600,5600
整租·左安浦园 1室1厅 南/西,东城-左安门-左安浦园,85.00,1,6400,6400
整租·法华南里 2室1厅 东/西,东城-崇文门-法华南里,65.00,2,7500,7500
整租·东直门北大街 2室1厅 东/西,东城-东直门-东直门北大街,62.98,2,7200,7200
整租·龙潭北里 4室2厅 南/西/北,东城-左安门-龙潭北里,166.00,4,18000,18000
整租·向新西里 1室1厅 南,东城-左安门-向新西里,43.75,1,5000,5000
整租·朝内大街136号院 1室1厅 南,东城-朝阳门内-朝内大街136号院,58.85,1,8400,8400
整租·前肖家胡同 1室1厅 南,东城-安定门-前肖家胡同,15.20,1,3200,3200
整租·法华南里 1室1厅 东/西,东城-崇文门-法华南里,65.18,1,7300,7300
整租·花园胡同 3室1厅 南/西/北,东城-安定门-花园胡同,82.00,3,13199,13199
整租·阳光都市 1室1厅 东,东城-工体-阳光都市,86.47,1,10800,10800
整租·东四八条 2室1厅 西,东城-东四-东四八条,30.70,2,5400,5400
整租·新景家园东区 1室1厅 东/西,东城-崇文门-新景家园东区,67.80,1,7900,7900
整租·小羊宜宾胡同 2室1厅 南,东城-建国门内-小羊宜宾胡同,55.10,2,8000,8000
整租·青年湖南街 1室1厅 东/西,东城-安定门-青年湖南街,49.00,1,6700,6700
整租·仓南胡同12号院 3室1厅 南/北,东城-朝阳门内-仓南胡同12号院,65.42,3,8500,8500
整租·和平里一区 1室1厅 南,东城-和平里-和平里一区,29.02,1,4000,4000
整租·和平里中街3号院 2室1厅 西/北,东城-和平里-和平里中街3号院,79.82,2,10500,10500
整租·北京INN 2室1厅 东,东城-朝阳门内-北京INN,103.00,2,16000,16000
整租·小黄庄一区 2室1厅 南/北,东城-安贞-小黄庄一区,60.00,2,7300,7300
整租·东四二条 1室1厅 南,东城-东四-东四二条,14.70,1,7500,7500
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,68.68,1,7600,7600
整租·国瑞城西区 1室0厅 北,东城-崇文门-国瑞城西区,67.00,1,8200,8200
整租·太华公寓 1室1厅 南,东城-崇文门-太华公寓,99.56,1,10500,10500
整租·夕照寺西里 2室1厅 南,东城-广渠门-夕照寺西里,44.02,2,5600,5600
整租·安外大街 1室1厅 东,东城-安贞-安外大街,46.83,1,6300,6300
整租·史家胡同20号院 3室1厅 东/南,东城-金宝街-史家胡同20号院,65.00,3,10000,10000
整租·和平里中街3号院 2室1厅 西南/西,东城-和平里-和平里中街3号院,80.00,2,9900,9900
整租·鸿运花园 3室2厅 南/北,东城-左安门-鸿运花园,170.00,3,20000,20000
整租·东方银座 1室1厅 南,东城-东直门-东方银座,83.33,1,9800,9800
整租·新景家园东区 1室0厅 东,东城-崇文门-新景家园东区,43.00,1,6700,6700
整租·前永康胡同 1室0厅 南,东城-东直门-前永康胡同,21.00,1,3500,3500
整租·东花市北里中区 1室1厅 西,东城-东花市-东花市北里中区,48.00,1,5600,5600
整租·国瑞城中区 2室1厅 西,东城-崇文门-国瑞城中区,71.67,2,7800,7800
整租·中景濠庭 2室2厅 南/西/北,东城-安定门-中景濠庭,121.40,2,18900,18900
整租·东革新里40号院 2室1厅 南/北,东城-永定门-东革新里40号院,58.00,2,5600,5600
整租·东后河沿 4室2厅 东/西,东城-崇文门-东后河沿,188.88,4,23500,23500
整租·法华南里 1室1厅 东/西,东城-崇文门-法华南里,65.18,1,7300,7300
整租·华人一品大厦 1房间 南,东城-东四-华人一品大厦,18.96,1,4500,4500
整租·西革新里124号 1室1厅 东,东城-永定门-西革新里124号,36.71,1,4800,4800
整租·花园胡同 3室1厅 南/西/北,东城-安定门-花园胡同,82.00,3,13199,13199
整租·安德里北街25号院 4室1厅 东/北,东城-安定门-安德里北街25号院,109.00,4,16500,16500
整租·仓南胡同14号院 1室1厅 西南,东城-朝阳门内-仓南胡同14号院,45.00,1,6800,6800
整租·东直门内北小街2号院 4室2厅 南/西/北,东城-东直门-东直门内北小街2号院,666.62,4,88800,88800
整租·阳光都市 1室1厅 东,东城-工体-阳光都市,86.47,1,10800,10800
整租·新景家园东区 1室1厅 东/西,东城-崇文门-新景家园东区,67.80,1,7900,7900
整租·小羊宜宾胡同 2室1厅 南,东城-建国门内-小羊宜宾胡同,55.10,2,8000,8000
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,76.00,1,8500,8500
整租·自由季 1房间 西,东城-广渠门-自由季,43.00,1,5000,5000
整租·春秀路 3室1厅 南/北,东城-工体-春秀路,82.89,3,9500,9500
整租·华龙美晟 1室1厅 北,东城-永定门-华龙美晟,43.95,1,4800,4800
整租·北京INN 2室1厅 北,东城-朝阳门内-北京INN,101.01,2,15500,15500
整租·北京INN 2房间 南,东城-朝阳门内-北京INN,95.11,2,18000,18000
整租·凯德华玺 3房间 南/北,东城-金宝街-凯德华玺,174.00,3,23000,23000
整租·抽屉胡同 2室1厅 南,东城-建国门外-抽屉胡同,58.15,2,7000,7000
整租·府上嘉园 3室2厅 南/北,东城-安定门-府上嘉园,153.00,3,32500,32500
整租·冠城名敦道A区 1室0厅 东,东城-广渠门-冠城名敦道A区,65.18,1,6900,6900
整租·芳嘉园胡同 2室1厅 南/北,东城-朝阳门内-芳嘉园胡同,68.00,2,9500,9500
整租·西老胡同 2室1厅 东/西,东城-东四-西老胡同,48.03,2,9000,9000
整租·太华公寓 2室1厅 南,东城-崇文门-太华公寓,98.51,2,14000,14000
整租·海晟名苑南区 3室2厅 东/西,东城-工体-海晟名苑南区,141.00,3,22000,22000
整租·MOHO国际写字楼 2房间 南,东城-东花市-MOHO国际写字楼,44.00,2,5000,5000
整租·东直门内大街 3室1厅 东南/南/西南,东城-东直门-东直门内大街,90.00,3,12800,12800
整租·北下洼子胡同 1室0厅 北,东城-地安门-北下洼子胡同,15.00,1,2600,2600
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,80.00,1,9000,9000
整租·国瑞城西区 2室1厅 西南,东城-崇文门-国瑞城西区,140.00,2,19500,19500
整租·幸福家园三期 1室1厅 东,东城-广渠门-幸福家园三期,63.90,1,7900,7900
整租·前门前酒店公寓 1房间 东南,东城-天坛-前门前酒店公寓,50.00,1,5100,5100
整租·万国城MOMA 2室1厅 西/北,东城-东直门-万国城MOMA,96.87,2,18000,18000
整租·雍和家园一期 2室1厅 西南,东城-和平里-雍和家园一期,97.00,2,15000,15000
