title,name,area,rooms,price_lower,price_upper
整租·浦江世博家园九街坊 2室2厅 南,闵行-浦江-浦江世博家园九街坊,75.73,2,5800,5800
整租·鑫隆花园 2室2厅 南,徐汇-植物园-鑫隆花园,118.49,2,9500,9500
整租·上海青年城 2室2厅 南,松江-九亭-上海青年城,42.08,2,5600,5600
整租·新海小区(长宁) 3室1厅 南,长宁-镇宁路-新海小区(长宁),55.09,3,9000,9000
整租·中环大厦 1室1厅 南,普陀-武宁-中环大厦,47.33,1,4800,4800
整租·九亭明珠苑(公寓) 3室2厅 南/北,松江-九亭-九亭明珠苑(公寓),152.08,3,8400,8400
整租·九英里 2室2厅 南,宝山-共康-九英里,98.70,2,7600,7600
整租·万乐城(商业类) 1室0厅 北,闵行-吴泾-万乐城(商业类),21.79,1,2100,2100
整租·富绅商业中心 2室1厅 北,青浦-夏阳-富绅商业中心,53.09,2,4500,4500
整租·金台三居 2室1厅 南,浦东-金杨-金台三居,71.81,2,6500,6500
整租·月浦九村 3室1厅 南,宝山-月浦-月浦九村,69.65,3,4000,4000
整租·宣化路268弄 2室1厅 南/北,长宁-中山公园-宣化路268弄,51.13,2,7500,7500
整租·一天下大厦 1室1厅 东,静安-不夜城-一天下大厦,68.74,1,7500,7500
整租·恒升半岛 1室1厅 北,虹口-北外滩-恒升半岛,64.79,1,6800,6800
整租·和源大楼 1室0厅 南/西,静安-闸北公园-和源大楼,30.50,1,4000,4000
整租·万达广场(松江) 1室1厅 北,松江-松江大学城-万达广场(松江),41.91,1,2500,2500
整租·眉州路515弄 1室0厅 南,杨浦-东外滩-眉州路515弄,31.95,1,5200,5200
整租·三泾南宅 1室0厅 南,长宁-中山公园-三泾南宅,33.53,1,5700,5700
整租·水都南岸(二期) 3室3厅 南,青浦-朱家角-水都南岸(二期),208.81,3,4700,4700
整租·爱丽雅花苑 2室2厅 南/北,松江-松江老城-爱丽雅花苑,109.28,2,5600,5600
整租·景瑞尚滨江 3室2厅 东南,浦东-塘桥-景瑞尚滨江,214.00,3,70000,70000
整租·卓越时代广场 2室1厅 北,宝山-共康-卓越时代广场,54.79,2,5000,5000
整租·可乐公馆 1室1厅 南,长宁-北新泾-可乐公馆,25.51,1,5000,5000
整租·番禺路222弄11支弄 2室1厅 南,长宁-新华路-番禺路222弄11支弄,58.20,2,9200,9200
整租·凤城六村 2室1厅 南,杨浦-控江路-凤城六村,91.61,2,9000,9000
整租·天汇广场 1室0厅 南,普陀-真如-天汇广场,54.12,1,5300,5300
整租·番禺路222弄11支弄 2室1厅 南,长宁-新华路-番禺路222弄11支弄,58.20,2,9200,9200
整租·龙湖新壹城 1室1厅 东,松江-松江大学城-龙湖新壹城,24.60,1,2100,2100
整租·虹浦新城南区 2室1厅 南,闵行-闵浦-虹浦新城南区,75.93,2,4200,4200
整租·龙湖滟澜山(公寓) 2室1厅 复式 南,青浦-赵巷-龙湖滟澜山(公寓),161.20,2,13600,13600
整租·富力桃园(公寓) 4室1厅 南,青浦-盈浦-富力桃园(公寓),90.32,4,3900,3900
整租·汇宁花园 2室1厅 东/西/西北,徐汇-徐家汇-汇宁花园,98.03,2,16500,16500
整租·临港新世界休闲广场 1室1厅 南/北,浦东-临港新城-临港新世界休闲广场,44.59,1,1900,1900
整租·尚光徐汇中心 2室2厅 西南/西,徐汇-徐家汇-尚光徐汇中心,54.90,2,9500,9500
整租·海印又一城 1室1厅 东/西,浦东-康桥-海印又一城,63.00,1,3900,3900
整租·华轩大厦 1室0厅 南,嘉定-丰庄-华轩大厦,47.52,1,4000,4000
整租·恒丰大楼(静安) 1室1厅 西南,静安-南京西路-恒丰大楼(静安),45.90,1,7300,7300
整租·经纬阳光水岸家园(一期) 2室1厅 南,宝山-上大-经纬阳光水岸家园(一期),71.14,2,5800,5800
整租·泾惠小区 2室1厅 南,普陀-甘泉宜川-泾惠小区,63.06,2,5200,5200
整租·罗山一村 1室1厅 南,浦东-金杨-罗山一村,47.67,1,5500,5500
整租·万科早城(一期) 1室1厅 北,闵行-浦江-万科早城(一期),60.25,1,3500,3500
整租·绿地云天坊 1室1厅 东,松江-泗泾-绿地云天坊,41.20,1,2600,2600
整租·合景理想家 1室1厅 南,嘉定-嘉定新城-合景理想家,43.00,1,3000,3000
整租·世盟壹天地 1室1厅 南,嘉定-南翔-世盟壹天地,36.41,1,3500,3500
整租·中心铂庭 1室1厅 东,静安-西藏北路-中心铂庭,46.00,1,6500,6500
整租·郡江国际 2室1厅 南,杨浦-周家嘴路-郡江国际,71.84,2,6000,6000
整租·新华红星国际广场 1室1厅 南,闵行-龙柏-新华红星国际广场,40.00,1,8500,8500
整租·颐亭花园(公寓) 4室2厅 南/北,松江-九亭-颐亭花园(公寓),98.93,4,8000,8000
整租·集成大厦 2室1厅 南,浦东-陆家嘴-集成大厦,95.71,2,12000,12000
整租·福莱锦苑 2室1厅 南,嘉定-菊园新区-福莱锦苑,72.90,2,3200,3200
整租·梧桐国际 1室2厅 南/西南,浦东-周浦-梧桐国际,63.87,1,4000,4000
整租·康虹花园(公寓) 2室0厅 南,青浦-徐泾-康虹花园(公寓),66.62,2,4500,4500
整租·溧阳路501号 1室1厅 南,虹口-北外滩-溧阳路501号,50.00,1,6500,6500
整租·高荣小区 1室1厅 南/西南,静安-曹家渡-高荣小区,47.18,1,6500,6500
整租·吴东小区 3室1厅 南,徐汇-徐家汇-吴东小区,79.92,3,8500,8500
整租·万荣小区 1室1厅 南,静安-阳城-万荣小区,42.48,1,4600,4600
整租·高荣小区 1室1厅 南/西南,静安-曹家渡-高荣小区,47.18,1,6500,6500
整租·万荣小区 1室1厅 南,静安-阳城-万荣小区,42.48,1,4600,4600
整租·东碧林湾 3室2厅 南,闵行-七宝-东碧林湾,130.58,3,13500,13500
整租·映虹桥 3室2厅 复式 南,青浦-赵巷-映虹桥,127.00,3,12000,12000
整租·中心铂庭 1室1厅 西北,静安-西藏北路-中心铂庭,45.42,1,7000,7000
整租·世博花园 1室2厅 南,虹口-鲁迅公园-世博花园,81.15,1,11500,11500
整租·尚云里 3室2厅 南,松江-洞泾-尚云里,88.23,3,5000,5000
整租·绿地公园广场 1室1厅 北,宝山-顾村-绿地公园广场,39.00,1,2600,2600
整租·宗鑫公寓 2室2厅 南,普陀-长寿路-宗鑫公寓,99.73,2,12500,12500
整租·许昌路570弄 2室1厅 东/西,杨浦-东外滩-许昌路570弄,50.08,2,6600,6600
整租·盘古嘉德 2室1厅 南/北,嘉定-嘉定新城-盘古嘉德,76.45,2,4300,4300
整租·保利熙悦名邸 3室2厅 南/北,宝山-上大-保利熙悦名邸,98.15,3,6700,6700
整租·崧泽华城佳福雅苑（五区） 2室1厅 南,青浦-赵巷-崧泽华城佳福雅苑（五区）,77.00,2,3800,3800
整租·科雅苑 3室1厅 南,浦东-张江-科雅苑,100.00,3,5800,5800
整租·真光九街坊 1室1厅 南,普陀-真光-真光九街坊,41.32,1,5000,5000
整租·泉东小区 1室1厅 南,浦东-潍坊-泉东小区,33.44,1,5000,5000
整租·六里二村 2室1厅 南,浦东-世博-六里二村,43.40,2,4800,4800
整租·周康三村 3室1厅 南,浦东-康桥-周康三村,101.18,3,5500,5500
整租·旭辉·公元 2室2厅 南,嘉定-安亭-旭辉·公元,69.76,2,3000,3000
整租·合生城邦四街坊 2室2厅 南,闵行-老闵行-合生城邦四街坊,91.06,2,5300,5300
整租·芷江西路285弄 1室1厅 南,静安-不夜城-芷江西路285弄,34.62,1,4200,4200
整租·飞虹路1047弄 1室1厅 南,杨浦-周家嘴路-飞虹路1047弄,53.19,1,4800,4800
整租·四季都会一期 2室2厅 南,宝山-杨行-四季都会一期,75.96,2,4000,4000
整租·朱家滩小区 1室0厅 南,浦东-潍坊-朱家滩小区,32.89,1,4600,4600
整租·谢家宅小区 2室1厅 南,浦东-陆家嘴-谢家宅小区,86.04,2,7500,7500
整租·印象春城 2室2厅 南/北,浦东-周浦-印象春城,89.40,2,5000,5000
整租·宜川三村 1室0厅 南,普陀-甘泉宜川-宜川三村,33.99,1,3400,3400
整租·恒大御景湾 2室2厅 南,嘉定-嘉定新城-恒大御景湾,87.89,2,6800,6800
整租·中环一号(一期) 3室2厅 南/北,宝山-大华-中环一号(一期),117.30,3,8800,8800
整租·美罗家园美平苑 3室2厅 南,宝山-罗店-美罗家园美平苑,125.00,3,4800,4800
整租·中环一号(一期) 3室2厅 南/北,宝山-大华-中环一号(一期),117.30,3,8800,8800
整租·印象生活广场 1室1厅 南,浦东-周浦-印象生活广场,58.00,1,4500,4500
整租·天晋小区 3室1厅 东南/西北,静安-西藏北路-天晋小区,102.70,3,9000,9000
整租·公园新村 2室1厅 南/北,浦东-惠南-公园新村,60.00,2,2000,2000
整租·好世鹿鸣苑 1室1厅 南,闵行-莘庄南广场-好世鹿鸣苑,49.76,1,6200,6200
整租·杨鑫佳苑 2室1厅 南/北,宝山-杨行-杨鑫佳苑,93.00,2,4000,4000
整租·杨鑫佳苑 3室2厅 南/北,宝山-杨行-杨鑫佳苑,120.00,3,5000,5000
整租·新建西路49弄 2室1厅 南/北,奉贤-南桥-新建西路49弄,52.46,2,1800,1800
整租·虹桥正荣府 4室2厅 南/北,青浦-徐泾-虹桥正荣府,149.92,4,14200,14200
整租·景凤路380弄 2室1厅 南,静安-彭浦-景凤路380弄,60.00,2,4100,4100
整租·新凯一期 2室1厅 南/北,松江-泗泾-新凯一期,76.54,2,3200,3200
整租·汇金大厦 1室2厅 南,黄浦-南京东路-汇金大厦,81.00,1,9000,9000
整租·凯鑫苑 4室2厅 南,浦东-高行-凯鑫苑,99.90,4,10000,10000
整租·玖玺 4室2厅 南,闵行-马桥-玖玺,123.41,4,6500,6500
整租·塘和家园仁育苑 2室1厅 南,松江-泗泾-塘和家园仁育苑,70.29,2,4500,4500
