title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·绿洲雅宾利花园(一期) 2室2厅 复式 南,静安-西藏北路-绿洲雅宾利花园(一期),124.78,2,16500,16500,16500.0,132.2327296041032,132.2327296041032,132.2327296041032
整租·申达大厦 2室2厅 南,静安-曹家渡-申达大厦,109.9,2,11500,11500,11500.0,104.6405823475887,104.6405823475887,104.6405823475887
整租·华业小区 1室0厅 南,静安-南京西路-华业小区,19.0,1,4900,4900,4900.0,257.89473684210526,257.89473684210526,257.89473684210526
整租·谈家桥路163弄 1室1厅 南,静安-大宁-谈家桥路163弄,32.17,1,4300,4300,4300.0,133.6649051911719,133.6649051911719,133.6649051911719
整租·爱俪轩 1室1厅 南,静安-静安寺-爱俪轩,56.81,1,8500,8500,8500.0,149.62154550255235,149.62154550255235,149.62154550255235
整租·岭南路100弄 1室0厅 南,静安-彭浦-岭南路100弄,38.01,1,3200,3200,3200.0,84.18837148118917,84.18837148118917,84.18837148118917
整租·共康三村 2室1厅 南,静安-彭浦-共康三村,55.31,2,4800,4800,4800.0,86.7835834387995,86.7835834387995,86.7835834387995
整租·德义大楼 3室1厅 东南,静安-南京西路-德义大楼,50.0,3,12000,12000,12000.0,240.0,240.0,240.0
整租·悠和家园 2室2厅 南/北,静安-大宁-悠和家园,97.23,2,9800,9800,9800.0,100.79193664506839,100.79193664506839,100.79193664506839
整租·慧芝湖花园（三期） 2室2厅 南,静安-大宁-慧芝湖花园（三期）,87.82,2,11000,11000,11000.0,125.25620587565476,125.25620587565476,125.25620587565476
