title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·和平里一区 1室1厅 南,东城-和平里-和平里一区,29.02,1,4000,4000,4000.0,137.83597518952448,137.83597518952448,137.83597518952448
整租·和平里中街3号院 2室1厅 西/北,东城-和平里-和平里中街3号院,79.82,2,10500,10500,10500.0,131.54597845151594,131.54597845151594,131.54597845151594
整租·北京INN 2室1厅 东,东城-朝阳门内-北京INN,103.0,2,16000,16000,16000.0,155.3398058252427,155.3398058252427,155.3398058252427
整租·小黄庄一区 2室1厅 南/北,东城-安贞-小黄庄一区,60.0,2,7300,7300,7300.0,121.66666666666667,121.66666666666667,121.66666666666667
整租·东四二条 1室1厅 南,东城-东四-东四二条,14.7,1,7500,7500,7500.0,510.2040816326531,510.2040816326531,510.2040816326531
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,68.68,1,7600,7600,7600.0,110.658124635993,110.658124635993,110.658124635993
整租·国瑞城西区 1室0厅 北,东城-崇文门-国瑞城西区,67.0,1,8200,8200,8200.0,122.38805970149254,122.38805970149254,122.38805970149254
整租·太华公寓 1室1厅 南,东城-崇文门-太华公寓,99.56,1,10500,10500,10500.0,105.46404178384893,105.46404178384893,105.46404178384893
整租·夕照寺西里 2室1厅 南,东城-广渠门-夕照寺西里,44.02,2,5600,5600,5600.0,127.21490231712856,127.21490231712856,127.21490231712856
整租·安外大街 1室1厅 东,东城-安贞-安外大街,46.83,1,6300,6300,6300.0,134.5291479820628,134.5291479820628,134.5291479820628
整租·史家胡同20号院 3室1厅 东/南,东城-金宝街-史家胡同20号院,65.0,3,10000,10000,10000.0,153.84615384615384,153.84615384615384,153.84615384615384
整租·和平里中街3号院 2室1厅 西南/西,东城-和平里-和平里中街3号院,80.0,2,9900,9900,9900.0,123.75,123.75,123.75
整租·鸿运花园 3室2厅 南/北,东城-左安门-鸿运花园,170.0,3,20000,20000,20000.0,117.6470588235294,117.6470588235294,117.6470588235294
整租·东方银座 1室1厅 南,东城-东直门-东方银座,83.33,1,9800,9800,9800.0,117.60470418816753,117.60470418816753,117.60470418816753
整租·新景家园东区 1室0厅 东,东城-崇文门-新景家园东区,43.0,1,6700,6700,6700.0,155.8139534883721,155.8139534883721,155.8139534883721
整租·前永康胡同 1室0厅 南,东城-东直门-前永康胡同,21.0,1,3500,3500,3500.0,166.66666666666666,166.66666666666666,166.66666666666666
整租·东花市北里中区 1室1厅 西,东城-东花市-东花市北里中区,48.0,1,5600,5600,5600.0,116.66666666666667,116.66666666666667,116.66666666666667
整租·国瑞城中区 2室1厅 西,东城-崇文门-国瑞城中区,71.67,2,7800,7800,7800.0,108.8321473419841,108.8321473419841,108.8321473419841
整租·中景濠庭 2室2厅 南/西/北,东城-安定门-中景濠庭,121.4,2,18900,18900,18900.0,155.6836902800659,155.6836902800659,155.6836902800659
整租·东革新里40号院 2室1厅 南/北,东城-永定门-东革新里40号院,58.0,2,5600,5600,5600.0,96.55172413793103,96.55172413793103,96.55172413793103
整租·东后河沿 4室2厅 东/西,东城-崇文门-东后河沿,188.88,4,23500,23500,23500.0,124.41761965268954,124.41761965268954,124.41761965268954
整租·华人一品大厦 1房间 南,东城-东四-华人一品大厦,18.96,1,4500,4500,4500.0,237.3417721518987,237.3417721518987,237.3417721518987
整租·西革新里124号 1室1厅 东,东城-永定门-西革新里124号,36.71,1,4800,4800,4800.0,130.75456278943068,130.75456278943068,130.75456278943068
整租·安德里北街25号院 4室1厅 东/北,东城-安定门-安德里北街25号院,109.0,4,16500,16500,16500.0,151.37614678899084,151.37614678899084,151.37614678899084
整租·仓南胡同14号院 1室1厅 西南,东城-朝阳门内-仓南胡同14号院,45.0,1,6800,6800,6800.0,151.11111111111111,151.11111111111111,151.11111111111111
整租·东直门内北小街2号院 4室2厅 南/西/北,东城-东直门-东直门内北小街2号院,666.62,4,88800,88800,88800.0,133.20932465272568,133.20932465272568,133.20932465272568
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,76.0,1,8500,8500,8500.0,111.84210526315789,111.84210526315789,111.84210526315789
整租·自由季 1房间 西,东城-广渠门-自由季,43.0,1,5000,5000,5000.0,116.27906976744185,116.27906976744185,116.27906976744185
整租·春秀路 3室1厅 南/北,东城-工体-春秀路,82.89,3,9500,9500,9500.0,114.60972373024491,114.60972373024491,114.60972373024491
整租·华龙美晟 1室1厅 北,东城-永定门-华龙美晟,43.95,1,4800,4800,4800.0,109.2150170648464,109.2150170648464,109.2150170648464
整租·北京INN 2室1厅 北,东城-朝阳门内-北京INN,101.01,2,15500,15500,15500.0,153.45015345015344,153.45015345015344,153.45015345015344
整租·北京INN 2房间 南,东城-朝阳门内-北京INN,95.11,2,18000,18000,18000.0,189.25454736620756,189.25454736620756,189.25454736620756
整租·凯德华玺 3房间 南/北,东城-金宝街-凯德华玺,174.0,3,23000,23000,23000.0,132.183908045977,132.183908045977,132.183908045977
整租·抽屉胡同 2室1厅 南,东城-建国门外-抽屉胡同,58.15,2,7000,7000,7000.0,120.37833190025796,120.37833190025796,120.37833190025796
整租·府上嘉园 3室2厅 南/北,东城-安定门-府上嘉园,153.0,3,32500,32500,32500.0,212.41830065359477,212.41830065359477,212.41830065359477
整租·冠城名敦道A区 1室0厅 东,东城-广渠门-冠城名敦道A区,65.18,1,6900,6900,6900.0,105.86069346425283,105.86069346425283,105.86069346425283
整租·芳嘉园胡同 2室1厅 南/北,东城-朝阳门内-芳嘉园胡同,68.0,2,9500,9500,9500.0,139.7058823529412,139.7058823529412,139.7058823529412
整租·西老胡同 2室1厅 东/西,东城-东四-西老胡同,48.03,2,9000,9000,9000.0,187.38288569643973,187.38288569643973,187.38288569643973
整租·太华公寓 2室1厅 南,东城-崇文门-太华公寓,98.51,2,14000,14000,14000.0,142.1175515176124,142.1175515176124,142.1175515176124
整租·海晟名苑南区 3室2厅 东/西,东城-工体-海晟名苑南区,141.0,3,22000,22000,22000.0,156.02836879432624,156.02836879432624,156.02836879432624
整租·MOHO国际写字楼 2房间 南,东城-东花市-MOHO国际写字楼,44.0,2,5000,5000,5000.0,113.63636363636364,113.63636363636364,113.63636363636364
整租·东直门内大街 3室1厅 东南/南/西南,东城-东直门-东直门内大街,90.0,3,12800,12800,12800.0,142.22222222222223,142.22222222222223,142.22222222222223
整租·北下洼子胡同 1室0厅 北,东城-地安门-北下洼子胡同,15.0,1,2600,2600,2600.0,173.33333333333334,173.33333333333334,173.33333333333334
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,80.0,1,9000,9000,9000.0,112.5,112.5,112.5
整租·国瑞城西区 2室1厅 西南,东城-崇文门-国瑞城西区,140.0,2,19500,19500,19500.0,139.28571428571428,139.28571428571428,139.28571428571428
整租·幸福家园三期 1室1厅 东,东城-广渠门-幸福家园三期,63.9,1,7900,7900,7900.0,123.63067292644757,123.63067292644757,123.63067292644757
整租·前门前酒店公寓 1房间 东南,东城-天坛-前门前酒店公寓,50.0,1,5100,5100,5100.0,102.0,102.0,102.0
整租·万国城MOMA 2室1厅 西/北,东城-东直门-万国城MOMA,96.87,2,18000,18000,18000.0,185.81604211830287,185.81604211830287,185.81604211830287
整租·雍和家园一期 2室1厅 西南,东城-和平里-雍和家园一期,97.0,2,15000,15000,15000.0,154.63917525773195,154.63917525773195,154.63917525773195
整租·金世纪嘉园 1室1厅 东,东城-广渠门-金世纪嘉园,62.0,1,6500,6500,6500.0,104.83870967741936,104.83870967741936,104.83870967741936
整租·和平里五区 1室1厅 东南,东城-和平里-和平里五区,40.0,1,6500,6500,6500.0,162.5,162.5,162.5
整租·万国城MOMA 2室1厅 东/北,东城-东直门-万国城MOMA,115.64,2,18000,18000,18000.0,155.65548253199586,155.65548253199586,155.65548253199586
整租·西总布胡同 2室1厅 南,东城-建国门内-西总布胡同,55.0,2,8500,8500,8500.0,154.54545454545453,154.54545454545453,154.54545454545453
整租·兴隆都市馨园 2室1厅 南,东城-崇文门-兴隆都市馨园,73.18,2,8500,8500,8500.0,116.15195408581579,116.15195408581579,116.15195408581579
整租·信用北里 3室0厅 东/西/北,东城-崇文门-信用北里,56.42,3,5800,5800,5800.0,102.80042538107054,102.80042538107054,102.80042538107054
整租·国瑞城中区 2室1厅 东,东城-崇文门-国瑞城中区,70.0,2,8400,8400,8400.0,120.0,120.0,120.0
整租·瑞士公寓 1室1厅 西,东城-朝阳门外-瑞士公寓,72.0,1,13500,13500,13500.0,187.5,187.5,187.5
整租·本家润园C区 2室1厅 西,东城-东花市-本家润园C区,63.75,2,7500,7500,7500.0,117.6470588235294,117.6470588235294,117.6470588235294
整租·鼓楼东大街 1室0厅 东,东城-地安门-鼓楼东大街,11.57,1,2400,2400,2400.0,207.43301642178045,207.43301642178045,207.43301642178045
整租·景泰东里 2室1厅 南/北,东城-蒲黄榆-景泰东里,65.71,2,6000,6000,6000.0,91.31030284583778,91.31030284583778,91.31030284583778
整租·察慈小区 1室1厅 南,东城-东直门-察慈小区,49.33,1,7300,7300,7300.0,147.98297182242044,147.98297182242044,147.98297182242044
整租·法华南里 1室1厅 西,东城-崇文门-法华南里,47.56,1,5600,5600,5600.0,117.74600504625735,117.74600504625735,117.74600504625735
整租·万国城MOMA 1室0厅 东,东城-东直门-万国城MOMA,45.86,1,8600,8600,8600.0,187.52725686873092,187.52725686873092,187.52725686873092
整租·城市亮点 1室1厅 西,东城-永定门-城市亮点,47.11,1,5200,5200,5200.0,110.3799617915517,110.3799617915517,110.3799617915517
整租·安德路乙61号院 2室1厅 东,东城-安定门-安德路乙61号院,84.1,2,13000,13000,13000.0,154.5778834720571,154.5778834720571,154.5778834720571
整租·绿景苑 1室0厅 西,东城-广渠门-绿景苑,18.0,1,3700,3700,3700.0,205.55555555555554,205.55555555555554,205.55555555555554
整租·西香河园 2室1厅 南/北,东城-东直门-西香河园,52.37,2,6000,6000,6000.0,114.56940996753868,114.56940996753868,114.56940996753868
整租·梵悦万国府 4室2厅 东南/西北,东城-东直门-梵悦万国府,287.56,4,80000,80000,80000.0,278.20280984837945,278.20280984837945,278.20280984837945
整租·新景家园东区 1室1厅 西,东城-崇文门-新景家园东区,58.98,1,6700,6700,6700.0,113.59782977280435,113.59782977280435,113.59782977280435
整租·海运仓小区 1室1厅 西,东城-东直门-海运仓小区,53.42,1,8000,8000,8000.0,149.75664545114188,149.75664545114188,149.75664545114188
整租·天坛东里北区 2室1厅 南,东城-天坛-天坛东里北区,50.0,2,7000,7000,7000.0,140.0,140.0,140.0
整租·北京INN 3房间 西,东城-朝阳门内-北京INN,80.0,3,10000,10000,10000.0,125.0,125.0,125.0
整租·新景家园东区 3室1厅 东/西,东城-崇文门-新景家园东区,90.0,3,9500,9500,9500.0,105.55555555555556,105.55555555555556,105.55555555555556
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,76.0,2,8600,8600,8600.0,113.15789473684211,113.15789473684211,113.15789473684211
整租·海晟名苑北区 1室0厅 东,东城-工体-海晟名苑北区,47.59,1,7700,7700,7700.0,161.7986972052952,161.7986972052952,161.7986972052952
整租·兴隆都市馨园 2室1厅 南/北,东城-崇文门-兴隆都市馨园,73.68,2,7600,7600,7600.0,103.1487513572204,103.1487513572204,103.1487513572204
整租·建国门北大街5号 3室1厅 东南,东城-建国门内-建国门北大街5号,146.08,3,20000,20000,20000.0,136.91128148959473,136.91128148959473,136.91128148959473
整租·华人一品大厦 2房间 南,东城-东四-华人一品大厦,18.0,2,4850,4850,4850.0,269.44444444444446,269.44444444444446,269.44444444444446
整租·自由季 2房间 西,东城-广渠门-自由季,56.0,2,5300,5300,5300.0,94.64285714285714,94.64285714285714,94.64285714285714
整租·和平里七区 2室1厅 南,东城-和平里-和平里七区,72.49,2,8000,8000,8000.0,110.36004966202236,110.36004966202236,110.36004966202236
整租·水上华城 1室1厅 北,东城-广渠门-水上华城,51.1,1,6000,6000,6000.0,117.41682974559687,117.41682974559687,117.41682974559687
整租·南岗子 2室1厅 南/北,东城-崇文门-南岗子,57.87,2,6200,6200,6200.0,107.13668567478832,107.13668567478832,107.13668567478832
整租·广渠家园 2室1厅 西北,东城-广渠门-广渠家园,61.34,2,7000,7000,7000.0,114.1180306488425,114.1180306488425,114.1180306488425
整租·太华公寓 2室1厅 南,东城-崇文门-太华公寓,151.0,2,17000,17000,17000.0,112.58278145695364,112.58278145695364,112.58278145695364
整租·小黄庄二区 1室1厅 南,东城-安贞-小黄庄二区,49.51,1,5500,5500,5500.0,111.08866895576652,111.08866895576652,111.08866895576652
整租·交林 2室1厅 东/南,东城-和平里-交林,55.14,2,7000,7000,7000.0,126.94958287994197,126.94958287994197,126.94958287994197
整租·富贵园一区 3室2厅 南/北,东城-东花市-富贵园一区,138.99,3,18300,18300,18300.0,131.66414849989206,131.66414849989206,131.66414849989206
整租·新景家园西区 1室1厅 西,东城-崇文门-新景家园西区,60.0,1,7200,7200,7200.0,120.0,120.0,120.0
整租·长青园 2室1厅 南/北,东城-左安门-长青园,58.0,2,7800,7800,7800.0,134.48275862068965,134.48275862068965,134.48275862068965
整租·雍和家园二期 2室1厅 西,东城-和平里-雍和家园二期,148.0,2,25500,25500,25500.0,172.2972972972973,172.2972972972973,172.2972972972973
整租·冠城名敦道A区 1室1厅 西南,东城-广渠门-冠城名敦道A区,60.55,1,7700,7700,7700.0,127.16763005780348,127.16763005780348,127.16763005780348
整租·定安里 2室1厅 东南,东城-永定门-定安里,55.0,2,5000,5000,5000.0,90.9090909090909,90.9090909090909,90.9090909090909
整租·长安太和 2室1厅 北,东城-建国门内-长安太和,172.76,2,35000,35000,35000.0,202.59319286871963,202.59319286871963,202.59319286871963
整租·梵悦万国府 3室2厅 东/南,东城-东直门-梵悦万国府,196.0,3,70000,70000,70000.0,357.14285714285717,357.14285714285717,357.14285714285717
整租·潘家坡胡同4号院 3室1厅 南/北,东城-朝阳门外-潘家坡胡同4号院,69.3,3,9800,9800,9800.0,141.41414141414143,141.41414141414143,141.41414141414143
整租·建国门内大街 3室2厅 东/南/北,东城-建国门外-建国门内大街,129.0,3,19000,19000,19000.0,147.28682170542635,147.28682170542635,147.28682170542635
整租·兴隆都市馨园 3室2厅 南/北,东城-崇文门-兴隆都市馨园,96.0,3,11500,11500,11500.0,119.79166666666667,119.79166666666667,119.79166666666667
整租·广渠家园 3室1厅 西南,东城-广渠门-广渠家园,79.0,3,8300,8300,8300.0,105.0632911392405,105.0632911392405,105.0632911392405
整租·雍和家园二期 2室1厅 北,东城-和平里-雍和家园二期,178.0,2,30000,30000,30000.0,168.53932584269663,168.53932584269663,168.53932584269663
整租·培新街乙5号院 2室1厅 东南,东城-广渠门-培新街乙5号院,75.3,2,9000,9000,9000.0,119.52191235059762,119.52191235059762,119.52191235059762
整租·鼓楼外大街52号 1室1厅 东,东城-安定门-鼓楼外大街52号,44.38,1,6300,6300,6300.0,141.9558359621451,141.9558359621451,141.9558359621451
整租·新永外文化用品商城 1室1厅 北,东城-永定门-新永外文化用品商城,37.0,1,4300,4300,4300.0,116.21621621621621,116.21621621621621,116.21621621621621
整租·MOHO国际写字楼 1房间 北,东城-东花市-MOHO国际写字楼,24.78,1,3600,3600,3600.0,145.27845036319613,145.27845036319613,145.27845036319613
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,80.03,2,8500,8500,8500.0,106.21017118580532,106.21017118580532,106.21017118580532
整租·海运仓小区 3室1厅 南/北,东城-东直门-海运仓小区,81.0,3,11000,11000,11000.0,135.80246913580248,135.80246913580248,135.80246913580248
整租·后永康胡同2号院4号院 1室1厅 东北,东城-东直门-后永康胡同2号院4号院,45.0,1,5800,5800,5800.0,128.88888888888889,128.88888888888889,128.88888888888889
整租·水上华城 1室2厅 西,东城-广渠门-水上华城,74.5,1,8300,8300,8300.0,111.40939597315436,111.40939597315436,111.40939597315436
整租·富莱茵花园 2室1厅 南/北,东城-永定门-富莱茵花园,62.13,2,5900,5900,5900.0,94.96217608240785,94.96217608240785,94.96217608240785
整租·李村东里 1室1厅 南/西,东城-永定门-李村东里,40.85,1,4600,4600,4600.0,112.60709914320685,112.60709914320685,112.60709914320685
整租·阳光都市 1室1厅 北,东城-工体-阳光都市,68.4,1,11000,11000,11000.0,160.8187134502924,160.8187134502924,160.8187134502924
整租·光明楼 2室1厅 东,东城-广渠门-光明楼,50.0,2,5000,5000,5000.0,100.0,100.0,100.0
整租·和平里一区 1室1厅 南,东城-和平里-和平里一区,37.07,1,5900,5900,5900.0,159.1583490693283,159.1583490693283,159.1583490693283
整租·北京INN 1房间 南,东城-朝阳门内-北京INN,63.0,1,8000,8000,8000.0,126.98412698412699,126.98412698412699,126.98412698412699
整租·中海紫御公馆 2室1厅 西北,东城-陶然亭-中海紫御公馆,62.0,2,8500,8500,8500.0,137.09677419354838,137.09677419354838,137.09677419354838
