小区名,平米数,总价,均价
胡家园小区    , 56.56平米 , 635万,"112,271元/平"
天坛东里南区    , 69.82平米 , 579万,"82,928元/平"
海运仓小区    , 88.65平米 , 990万,"111,676元/平"
仓南胡同    , 78.16平米 , 950万,"121,546元/平"
崇文门东大街    , 61.14平米 , 590万,"96,500元/平"
天天家园    , 66.55平米 , 532万,"79,940元/平"
民安小区东直门内北小街    , 59.82平米 , 680万,"113,675元/平"
兴化西里    , 74.32平米 , 858万,"115,447元/平"
新景家园西区    , 88.72平米 , 970万,"109,333元/平"
胡家园小区    , 69.37平米 , 750万,"108,116元/平"
化工大院    , 62.39平米 , 778万,"124,700元/平"
百荣嘉园    , 45.99平米 , 425万,"92,412元/平"
聚龙花园    , 223.22平米 , 1500万,"67,199元/平"
民安小区东直门北中街    , 137.84平米 , 1360万,"98,666元/平"
东直门外大街(东城）    , 46.95平米 , 519万,"110,544元/平"
安德路乙61号院    , 52.64平米 , 655万,"124,431元/平"
安外花园    , 51.06平米 , 635万,"124,364元/平"
万国城MOMA    , 59.11平米 , 760万,"128,574元/平"
西革新里110号院    , 48.21平米 , 406万,"84,215元/平"
金世纪嘉园    , 60.4平米 , 598万,"99,007元/平"
北河沿大街    , 41.47平米 , 568万,"136,967元/平"
小黄庄一区    , 43.29平米 , 619万,"142,990元/平"
民安小区东直门北中街    , 78.12平米 , 799万,"102,279元/平"
普渡寺后巷    , 45.6平米 , 636万,"139,474元/平"
和平里七区    , 36.37平米 , 539万,"148,200元/平"
郭庄北里    , 58.27平米 , 518万,"88,897元/平"
安乐林二条    , 70.61平米 , 535万,"75,769元/平"
巷上嘉园    , 88.11平米 , 950万,"107,820元/平"
百荣嘉园    , 71.18平米 , 600万,"84,294元/平"
西营房    , 55.95平米 , 608万,"108,669元/平"
青年湖东里    , 67.27平米 , 720万,"107,032元/平"
胡家园小区    , 80.17平米 , 899万,"112,137元/平"
和平里七区    , 43.55平米 , 575万,"132,033元/平"
琉璃寺胡同    , 15.7平米 , 280万,"178,344元/平"
豆瓣胡同    , 71.68平米 , 980万,"136,719元/平"
兴隆都市馨园    , 28.48平米 , 388万,"136,236元/平"
安德路55号院    , 53.11平米 , 558万,"105,065元/平"
华龙美晟    , 43.78平米 , 475万,"108,498元/平"
海运仓小区    , 53.42平米 , 599万,"112,131元/平"
广渠家园    , 71.15平米 , 729万,"102,460元/平"
青云胡同    , 14.5平米 , 210万,"144,828元/平"
