小区名,平米数,总价,均价
燕归园    , 100.74平米 , 1480万,"146,913元/平"
文慧园    , 62.1平米 , 628万,"101,128元/平"
世华龙樾一期西区    , 52.29平米 , 565万,"108,052元/平"
知本时代    , 99.43平米 , 752万,"75,632元/平"
知本时代    , 100.04平米 , 729万,"72,871元/平"
永泰园    , 40.23平米 , 378万,"93,960元/平"
健翔园    , 79.68平米 , 790万,"99,147元/平"
万寿路26号院    , 70.5平米 , 758万,"107,518元/平"
玉海园五里    , 83.21平米 , 690万,"82,923元/平"
宏嘉丽园    , 99.39平米 , 1160万,"116,712元/平"
玉海园二里    , 86.6平米 , 669万,"77,252元/平"
清上园    , 114.05平米 , 896万,"78,563元/平"
翠微南里    , 44.57平米 , 538万,"120,709元/平"
中国铁建环保嘉苑    , 53.22平米 , 425万,"79,858元/平"
车道沟东里    , 59.6平米 , 649万,"108,893元/平"
门头馨村南区    , 67.88平米 , 395万,"58,191元/平"
立方庭    , 69.83平米 , 720万,"103,108元/平"
清缘里中区    , 68.38平米 , 522万,"76,339元/平"
永定路1号院    , 56.8平米 , 510万,"89,789元/平"
八里庄北里    , 57.2平米 , 560万,"97,903元/平"
北河沿    , 57.1平米 , 778万,"136,253元/平"
学院南路72号院    , 62.5平米 , 738万,"118,080元/平"
永定路85号院    , 54.6平米 , 505万,"92,491元/平"
和泓四季    , 93.9平米 , 828万,"88,179元/平"
建材城西一里    , 63.48平米 , 455万,"71,677元/平"
城华园    , 66.49平米 , 485万,"72,944元/平"
亮甲店甲1号院    , 98.5平米 , 750万,"76,143元/平"
甘家口8号院    , 78.22平米 , 838万,"107,134元/平"
太平路42号院    , 49.29平米 , 628万,"127,410元/平"
志新北里    , 59.7平米 , 670万,"112,228元/平"
恩济庄82号院    , 78.9平米 , 729万,"92,396元/平"
昌运宫    , 77.6平米 , 798万,"102,836元/平"
玉海园一里    , 60.6平米 , 590万,"97,360元/平"
恩济里小区    , 74.9平米 , 815万,"108,812元/平"
红联村3号院    , 69.75平米 , 680万,"97,492元/平"
水科院    , 64.5平米 , 870万,"134,884元/平"
环保局宿舍楼    , 66.1平米 , 728万,"110,137元/平"
中海馥园    , 174.58平米 , 2020万,"115,707元/平"
海淀南路    , 68.68平米 , 829万,"120,705元/平"
紫竹院路62号院    , 168.55平米 , 1198万,"71,077元/平"
永泰园新地标    , 158.05平米 , 1036万,"65,549元/平"
